name,vendor,category,status,source,cost_status,notes,cost_detail,estimated_annual_cost,pricing_model,pricing_notes,teams_using,shared_or_individual,overlap_with,interview_question
Jira,Atlassian,Project Management,confirmed_active,"Direct access — 141 projects, 313 boards",unknown,Universal work system. Criticality: Red/High per Cake Engineering Tools page. Managed by Cloud services team.,,"$62,000–$75,000 (bundled with Confluence + Bitbucket)",per_seat,Cloud Premium ~$14–17/user/mo for ~370 users. Bundled Atlassian suite.,All engineering; CS Implementations; Operations; PMO,org_wide,,"141 projects and 18,583 open issues — is anyone tracking the grooming cadence across all of these?"
Confluence,Atlassian,Documentation,confirmed_active,"Direct access — 165 spaces, 14,111+ pages indexed",included_in_atlassian,Active documentation culture. Criticality: Red/High. Managed by Cloud services team.,,Included in Atlassian bundle,per_seat,Bundled with Jira licensing.,All teams,org_wide,Guru,"Confluence has 14,000+ pages. Is Guru also actively used, or has it been superseded?"
Bitbucket Cloud,Atlassian,Source Control,confirmed_active,"Direct access — 4 workspaces, 3,191 repos",included_in_atlassian,"Four workspaces (madmobile, syscolabs, madpayments, syscolabsconf). Criticality: Red/High. 75% of repos stale (no commits in 90d).",,Included in Atlassian bundle,per_seat,Bundled with Atlassian. Build minutes may be separate cost.,All engineering,org_wide,GitHub,GitHub is also listed in the engineering tools page with a note 'Can we get rid of this?' — what's the status?
GitHub,GitHub / Microsoft,Source Control,suspected,"Cake Engineering Tools Confluence page — listed as Red/High criticality, managed by Leads. Note: 'Can we get rid of this?'",unknown,OVERLAP: Running alongside Bitbucket. Internal page already questions whether it should be decommissioned.,,"$0–$21,000/year (Team: $4/user/mo, Enterprise: $21/user/mo)",per_seat,"May be legacy. If still paying, potential immediate savings.",Unknown — possibly legacy CAKE teams,org_wide,Bitbucket Cloud,"Is the GitHub org still active, or has everything moved to Bitbucket? Are you still paying for it?"
AWS,Amazon,Cloud Infrastructure,confirmed_active,SSO access — 18 accounts,known,"Multi-account org with ControlTower. Top accounts: Mgmt $250K, Monvia $23K, CAKE Dev $15K, Retail Prod US $12K.","$320,639/month across 18 accounts (March 2026, excluding mgmt consolidated)","$3,847,668/year",usage_based,"Consolidated billing through mm-madmobile-mgmt. Includes $58K/mo Savings Plans, $17K/mo Enterprise Support.",All engineering; Cloud services,org_wide,,The AWS Cost Savings 2025 doc identifies $7K/mo in EBS snapshot savings alone. How much of that has been captured?
Grafana (self-hosted),Grafana Labs (OSS),Observability,confirmed_active,"AWS inventory — Shared Services EKS cluster. $1,813/mo in mm-shared-services.",known,"OVERLAP: 6 observability tools identified. Self-hosted Mimir (metrics), Loki (logs), Tempo (traces). Payments has its own instance.","~$1,813/month hosting (Shared Services account)","$21,756/year (hosting only)",self_hosted,"OSS, no license fee. Cost is EKS + S3 storage for Mimir/Loki/Tempo data.",Cloud services; Restaurant; Payments (separate instance),org_wide,Datadog; Nagios; Munin; Graylog; DB Cacti,I count 6 monitoring/observability tools in the stack. What's the consolidation plan?
Datadog,Datadog,Observability,confirmed_active,"Confluence — 'Datadog Reference' (MenuPad), 'Concierge Core -- Datadog Integration Effort'. URL: https://app.datadoghq.com",unknown,OVERLAP: Running alongside self-hosted Grafana stack. Used for Real User Monitoring and Log Explorer per Confluence. Scope and contract unknown — key ask for Ana.,,"$50,000–$200,000/year",per_host_and_usage,"APM + RUM + Log Management. Highly variable based on hosts, custom metrics, log volume.",Concierge/Retail (RUM); MenuPad,team_level,Grafana; Graylog,"Datadog is running for Concierge/MenuPad alongside the Grafana stack for everything else. Is there a plan to consolidate, or do they serve different purposes?"
Nagios,Nagios (OSS),Observability,confirmed_active,Cake Engineering Tools page — 'Nagios - Monitor and alert based on threshold values'. Managed by Cloud services team.,included_in_aws,OVERLAP: Legacy monitoring alongside Grafana and Datadog.,,"$0 (OSS) or $2,000–$5,000/year (Nagios XI)",self_hosted,OSS or commercial. EC2 hosting cost included in AWS.,Cloud services,org_wide,Grafana; Datadog,"Is Nagios still actively used, or has Grafana replaced it?"
Munin,Open Source,Observability,suspected,Cake Engineering Tools page — 'Munin - To monitor servers'. Low criticality. Managed by Cloud services team.,included_in_aws,OVERLAP: Server monitoring that may be superseded by Grafana Mimir.,,$0 (OSS),self_hosted,Open source server monitoring.,Cloud services,org_wide,Grafana; Nagios,
Graylog,Graylog,Observability,suspected,Cake Engineering Tools page — 'Graylog servers'. Low criticality. Managed by Leads/Cloud services.,unknown,OVERLAP: Log management alongside Loki and Datadog Log Explorer.,,"$0 (OSS) or $12,000–$40,000/year (Enterprise)",self_hosted,OSS or commercial log management.,Unknown,org_wide,Grafana Loki; Datadog Logs,
DB Cacti,Open Source,Observability,suspected,Cake Engineering Tools page — 'DB Cacti - To monitor servers'. Low criticality. Managed by DB Leads.,included_in_aws,OVERLAP: Database-focused monitoring.,,$0 (OSS),self_hosted,Open source network/server monitoring.,DB team,team_level,Grafana,
Jenkins,Open Source,CI/CD,confirmed_active,"AWS: 9 Jenkins instances in mm-cake-development (dev-qa-payment-jenkins, pos-db-jenkins, qa-jenkins-master, etc.)",included_in_aws,OVERLAP: Dual CI/CD. Criticality: Red/High per Cake Eng Tools. Managed by Leads/Cloud services. Tooling Evaluation doc explicitly compared Jenkins vs Pipelines vs GitLab — Jenkins scored lower due to 'hassle of maintaining cluster' and 'runtime conflicts'.,"~$1,500–2,500/month estimated EC2 cost (9 instances in CAKE Dev)","$18,000–$30,000/year (EC2 hosting)",self_hosted,"OSS, no license. Cost is EC2 compute for 9 instances (master + slaves + ZAP).",Restaurant/CAKE,team_level,Bitbucket Pipelines,The tooling evaluation doc scored Jenkins lower than Bitbucket Pipelines due to cluster maintenance overhead. Is there a timeline to consolidate?
Bitbucket Pipelines,Atlassian,CI/CD,confirmed_active,"Bitbucket inventory — pipeline configs in repos, 87% coverage in madpayments",unknown,OVERLAP: Dual CI/CD with Jenkins. Preferred tool per Tooling Evaluation (scored 3-4 on criteria vs Jenkins 3).,,Included in Atlassian + build minute overages,usage_based,Included in Bitbucket licensing. Build minutes may incur overages.,Retail; Payments; Enterprise,org_wide,Jenkins,
Terraform,HashiCorp,IaC,confirmed_active,AWS inventory — state buckets across multiple accounts,unknown,IaC standard. Payments uses extensively (TF state in mm-payments-prod-us).,,$0 (OSS CLI) or $70/user/mo (Cloud/Enterprise),per_seat,If using OSS CLI only: free. If Terraform Cloud/Enterprise: per-user pricing.,Cloud services; Payments,team_level,,Are you using Terraform OSS or Terraform Cloud/Enterprise? That's a meaningful cost difference.
Cursor,Anysphere,AI Dev Tooling,confirmed_active,"Bitbucket — .cursor/rules in 2 repos (seao, restaurant-admin-v2). Confluence — 'Design Integration with Cursor', 'API Automation using Cursor', 'Agentic Lovable Dev Flow', 'Test Automation with Cursor Tool'.",unknown,"AI space Tools page shows <5 adoption. Multiple Confluence pages show active experimentation (Figma MCP, API automation, agentic dev flow).",,"$4,800–$19,200/year (10–40 seats at $40/mo Business)",per_seat,"$20/mo Pro, $40/mo Business per seat.",Restaurant (Tesla); QE (Castor); System Integrators; Concierge,individual,VS Code; IntelliJ,I saw the Cursor + Figma MCP integration doc from Tesla team and the API automation POC from Castor. How many seats does the org actually have?
Claude / Anthropic,Anthropic,AI Dev Tooling,confirmed_active,"Bitbucket — CLAUDE.md in 3 madpayments repos, AGENTS.md in 4 repos (cakekiosk-kdsapplauncher, ditto-sync-agent, restaurant-admin-v2, cake-pop-automation)",unknown,8 of 30 scanned repos have AI tooling config (26.7% adoption rate).,,"$0–$12,000/year (API or via Cursor integration)",usage_based,API usage-based or included in Cursor subscription.,Payments; Restaurant,individual,,CLAUDE.md is in 3 payments repos and AGENTS.md in 4 others. Is this organic adoption or a team decision?
OpenAI / ChatGPT,OpenAI,AI / LLM,confirmed_active,AI space Tools page — listed under 'General Corporate' as AI-enabled. N8N workflows use OpenAI for AI Summary Validation and Smart Prompt Generation.,unknown,Used both as corporate tool and embedded in N8N automation workflows.,,"$1,200–$24,000/year (Team: $25-30/user/mo, or API usage)",per_seat_or_usage,ChatGPT Team/Enterprise or API usage for N8N workflows.,General Corporate; QA (N8N workflows); Concierge (AI features),mixed,AWS Bedrock; Claude,"Is OpenAI usage corporate-wide, or specific teams? API or seat-based?"
